Date,"Muon"
2018-05-01,764
2018-05-02,755
2018-05-03,777
2018-05-04,702
2018-05-05,1066
2018-05-06,817
2018-05-07,819
2018-05-08,909
2018-05-09,833
2018-05-10,1035
2018-05-11,618
2018-05-12,545
2018-05-13,575
2018-05-14,828
2018-05-15,714
2018-05-16,699
2018-05-17,671
2018-05-18,578
2018-05-19,491
2018-05-20,511
2018-05-21,634
2018-05-22,623
2018-05-23,707
2018-05-24,859
2018-05-25,690
2018-05-26,498
2018-05-27,520
2018-05-28,668
2018-05-29,821
2018-05-30,861
2018-05-31,726
2018-06-01,691
2018-06-02,615
2018-06-03,660
2018-06-04,818
2018-06-05,654
2018-06-06,674
2018-06-07,681
2018-06-08,577
2018-06-09,600
2018-06-10,1542
2018-06-11,775
2018-06-12,656
2018-06-13,604
2018-06-14,562
2018-06-15,514
2018-06-16,433
2018-06-17,435
2018-06-18,543
2018-06-19,541
2018-06-20,583
2018-06-21,548
2018-06-22,481
2018-06-23,420
2018-06-24,374
2018-06-25,504
2018-06-26,498
2018-06-27,519
2018-06-28,466
2018-06-29,446
2018-06-30,357
2018-07-01,372
2018-07-02,544
2018-07-03,562
2018-07-04,642
2018-07-05,610
2018-07-06,532
2018-07-07,410
2018-07-08,425
2018-07-09,594
2018-07-10,603
2018-07-11,576
2018-07-12,810
2018-07-13,991
2018-07-14,564
2018-07-15,706
2018-07-16,616
2018-07-17,629
2018-07-18,603
2018-07-19,564
2018-07-20,531
2018-07-21,392
2018-07-22,378
2018-07-23,495
2018-07-24,546
2018-07-25,516
2018-07-26,540
2018-07-27,426
2018-07-28,429
2018-07-29,390
2018-07-30,539
2018-07-31,514
2018-08-01,489
2018-08-02,661
2018-08-03,469
2018-08-04,436
2018-08-05,467
2018-08-06,1094
2018-08-07,590
2018-08-08,531
2018-08-09,439
2018-08-10,522
2018-08-11,375
2018-08-12,400
2018-08-13,481
2018-08-14,497
2018-08-15,481
2018-08-16,523
2018-08-17,435
2018-08-18,417
2018-08-19,392
2018-08-20,562
2018-08-21,531
2018-08-22,596
2018-08-23,561
2018-08-24,439
2018-08-25,425
2018-08-26,441
2018-08-27,522
2018-08-28,576
2018-08-29,623
2018-08-30,586
2018-08-31,465
2018-09-01,428
2018-09-02,449
2018-09-03,553
2018-09-04,634
2018-09-05,627
2018-09-06,631
2018-09-07,579
2018-09-08,404
2018-09-09,515
2018-09-10,635
2018-09-11,551
2018-09-12,553
2018-09-13,569
2018-09-14,548
2018-09-15,405
2018-09-16,425
2018-09-17,591
2018-09-18,591
2018-09-19,585
2018-09-20,608
2018-09-21,600
2018-09-22,460
2018-09-23,534
2018-09-24,649
2018-09-25,605
2018-09-26,645
2018-09-27,685
2018-09-28,556
2018-09-29,443
2018-09-30,486
2018-10-01,579
2018-10-02,661
2018-10-03,672
2018-10-04,781
2018-10-05,566
2018-10-06,497
2018-10-07,517
2018-10-08,665
2018-10-09,729
2018-10-10,669
2018-10-11,753
2018-10-12,595
2018-10-13,474
2018-10-14,558
2018-10-15,713
2018-10-16,704
2018-10-17,724
2018-10-18,686
2018-10-19,608
2018-10-20,426
2018-10-21,522
2018-10-22,678
2018-10-23,648
2018-10-24,620
2018-10-25,653
2018-10-26,1406
2018-10-27,1063
2018-10-28,1157
2018-10-29,1184
2018-10-30,938
2018-10-31,980
2018-11-01,930
2018-11-02,774
2018-11-03,580
2018-11-04,605
2018-11-05,796
2018-11-06,851
2018-11-07,799
